tweet_id,customer_text,reply_text,human_score,notes
2290919,"#AmazonPrime, 2 #commandes dans la #semaine &amp; 2 #retards de #livraison ! #Inadmissible &amp; #inexcusable ! #Nul, #zéro #total, #àfuir ! #Boycott ! #internet #achats #clients #service #transporteur #Amazon #foutagedegueule","Bonjour, désolée d'apprendre cela :/ que dit le suivi de votre commande s'il vous plaît ? ^SN",4,good response
2736220,"I got this message: Seller Account Closed We noticed that it's been a while since you’ve had any transactions on your Amazon seller account associated with this email address. Because of the inactivity, we have closed this seller account.",You're welcome to create a new account using a different e-mail address as the other account can't be reopened. I apologize for any inconvenience this has caused! ^CS,3,somewhat relevant
2107287,"Though I have amazon India account, for next few months, i'll be in South Korea. Will be great if there is a way amazon india can deliver it to here ;) Thank you for the help 😀",I'm afraid that we will not be able to ship the products out of India. Request you to wait till the product is available on Global store. ^PR,5,directly helpful
2763574,Its more than 5:00 PM. When will #OnePlus5T available for non-prime members?,We haven't mad any announcement yet. Please stay tuned to our website for any further updates. KH,3,somewhat relevant
1125177,Okay so have the absolute right to block your account for no reason but when you want to close the account they ask you to LOGIN to your account... HOW ? HOW AMAZON ? I can not login !,"Hello, sorry for that. You can contact our CS via this link without authentification : ^SM",5,directly helpful
2435041,"dlvry drvrs should ring bell. Pkgs left outside I'm disable hope they aren't stolen, need to wait for someone to get them","Hello, Toni! I'm sorry this happened! Has this happened more than once and with a recent order? Do you know who the carrier was for the order? You can check that here:",5,directly helpful
1916259,I did yes. I've been advised to wait until tomorrow to see if the missing items turn up,Ok. Let us know if there's anything further we can assist you with:-) ^QJ,3,somewhat relevant
338127,Still was not delivered today. This was the latest my updates said it would be.,"We don't have acct access via Twitter, so reach us via phone/chat and we'll explore options together: ^KN",5,directly helpful
500860,I have been in contact with one of your team and they have been as unhelpful as everyone else I have spoken to. I need someone to not copy and paste a standard response and give me back my stolen money. Your customer service is terrible. Stop messing me around. Thieves.,Can I ask for you to explain the issue without giving account information so we can assist you further. Thank you ^GA,5,directly helpful
1021015,I lost my kindle while traveling in Sri Lanka. Can I remotely deactivate it? Can I get a new one here? I want to read 🙂,I'm sorry your Kindle was lost! We'd like to look into available options with you here: ^VS,5,directly helpful
2845537,My amount lost and now time wasting also,We would like to help you. Please share your details with us here: We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^CB,3,somewhat relevant
1727610,"Ok! Thank for considering my comment, but what about my lightening deal, Which I have lost ?? Are You offering me same lightening deal ??",the lowest price may result in fluctuations in our prices over time. We'd appreciate your understanding. 2/2 ^MA,4,good response
685607,"It was royal mail. Says delivered about 10.30 but no one knocked nor was it left in my ""safe place""",Got it! I'm sorry your parcel isn't in your safe place! Here are some helpful tips to help locate a missing parcel: I hope this helps! ^TK,4,good response
1656200,"I lost my mobile phone bill, can u help me.",Please follow the steps here: to print an invoice for your order. ^PS,5,directly helpful
2889240,"Dear app developers, if you make my phone ping and my watch vibrate and it turns out to be an ad, guess what: You just lost notification privileges. Yes, even you, .","Wir wollen dich doch nur darauf hinweisen, dass du eine ganz tolle Reise gewinnen kannst. Mehr dazu hier: :) ^AM",4,good response
1753373,"I did via chat. They sent it again, where it got lost again...",Oh no! Please reach back out so we can take feedback and look at options together: Keep us posted! ^KN,4,good response
872136,the last few purchases I made were lost in shipping or took more than 5 days to get here. I pay for 2 day shipping and expect that,I'm sorry there have been so many order issues. Is there a current order that we can help you out with? ^VS,4,good response
2110317,"The link you sent was way too generic. How can I complain that your driver has dumped a load of parcels without even bothering to check if anyone was home? If they are all stolen I wouldn't be at all surprised. Who can we talk to about this? It's lazy, shoddy and unnecessary.",I'd like to have a member of our team look into this with you as soon as possible. Here's a link to contact us by phone for direct assistance: ^SE,5,directly helpful
982021,"Yes, and missing from last 4 days....",Apologies for the delay. Please share your details here: and let us know. We'll sort this for you. ^VN,5,directly helpful
2575203,"Now I may be missing something, but I know for sure that 15% of $699 is not $15.","Thanks for getting in touch with us, Parker. We'd like to look into this with you- when you have a moment, give us a call or chat in with us here: ^BL",3,somewhat relevant
483081,my 2 parcels were delivered monday and received one 2 days ago. 1 missing or delayed??? both from amazon,"Sorry you haven't received one of your parcels, Michael! What is the latest order status showing for the parcel here: ? ^TH",5,directly helpful
1327003,Yeah... these were not delivered with everything else. customer services have been useless,"I'm sorry for the poor experience, John! Were you provided with any other insight or options? ^WJ",5,directly helpful
1357650,"100 hrs and still not delivered. PATHETIC, SHIT service by",We apologize for the stretch. We will ensure to close your issue at the earliest. ^CB,4,good response
834407,"Hi team, i have received the missing Product today evening Thanks for the quick response",You're most welcome. Thanks for keeping us posted. -Bikram,3,somewhat relevant
902191,please tell me how a) my apartment (i was home in) is a business and b) what holiday it is that i’m missing,Oh my! Thanks for reaching out! Who was the carrier for this order: Please let us know! ^KJ,4,good response
1072545,nice to know just how you honor your commitments. You lost a long time customer who spent a fortune on your site.,"I'm sorry for the poor experience. Without providing any sensitive info, could you tell us more about the situation? ^ZW",5,directly helpful
2151876,Hey where the hell is the parcel you were supposed to deliver to this morning? This one gone missing again has it?,"Hey Alan, what is the current status of the order?",4,good response
2744161,I clicked on that and there nothing about item that says delivered when it hasn't,"Please select ""Where's My Stuff"" in field number 2, then scroll down to select how you wish to contact us. ^JZ",5,directly helpful
2558495,My giftcrd got redeemed STOLEN by one of YOUR customers,"When you spoke with us last, what was advised by the agent or the supervisor? Were options provided to you? ^FR",4,good response
2946940,"Amazon sent my copy...then it was lost. Fucked up, huh?","Sorry to hear that, Debra. Can I ask if you've been advised of your refund or replacement options?^TI",3,somewhat relevant
